City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Ilulissat,GL,2022-04-25 19:07:02,69.2167,-51.1,28.42,80,100,0.0
167,Storforshei,NO,2022-04-25 19:12:24,66.4043,14.5233,35.38,55,40,6.91
168,Disa,IN,2022-04-25 19:12:25,24.25,72.1667,81.37,48,0,7.36
169,Yulara,AU,2022-04-25 19:04:27,-25.2406,130.9889,59.68,74,100,6.42
170,Urubicha,BO,2022-04-25 19:12:25,-15.3833,-62.95,86.38,55,100,3.18
171,Hofn,IS,2022-04-25 19:12:26,64.2539,-15.2082,41.02,87,100,6.91
172,Mecca,SA,2022-04-25 19:08:00,21.4267,39.8261,83.82,57,0,3.53
173,Whitehorse,CA,2022-04-25 19:12:26,60.7161,-135.0538,44.1,73,85,1.01
174,Khatanga,RU,2022-04-25 19:01:55,71.9667,102.5,-11.27,100,99,3.56
175,Elblag,PL,2022-04-25 19:12:27,54.1522,19.4088,42.98,93,100,8.43
176,Bara,NG,2022-04-25 19:12:27,10.3744,10.7288,93.63,35,100,12.97
177,Kaitangata,NZ,2022-04-25 19:03:13,-46.2817,169.8464,47.73,72,19,12.84
178,Chicama,PE,2022-04-25 19:12:28,-7.8447,-79.1469,63.14,66,100,8.57
179,Kungurtug,RU,2022-04-25 19:12:28,50.5994,97.5228,12.79,83,12,2.48
180,Saint-Pierre,RE,2022-04-25 19:12:28,-21.3393,55.4781,74.88,80,100,16.11
181,Sao Joao Da Barra,BR,2022-04-25 19:07:04,-21.6403,-41.0511,80.69,71,8,10.36
182,Itacare,BR,2022-04-25 19:12:29,-14.2775,-38.9967,77.79,85,8,11.54
183,Kaeo,NZ,2022-04-25 19:12:29,-35.1,173.7833,55.33,95,59,4.43
184,Bathsheba,BB,2022-04-25 19:12:30,13.2167,-59.5167,75.81,100,75,14.97
185,Vestmannaeyjar,IS,2022-04-25 19:12:30,63.4427,-20.2734,45.81,84,71,11.32
186,Leningradskiy,RU,2022-04-25 19:07:02,69.3833,178.4167,8.31,94,67,7.45
187,Oranjemund,NA,2022-04-25 19:13:31,-28.55,16.4333,57.25,75,0,18.99
188,Port Lincoln,AU,2022-04-25 19:13:31,-34.7333,135.8667,64.17,81,100,9.35
189,San Juan,AR,2022-04-25 19:10:08,-31.5375,-68.5364,83.55,17,0,7.49
190,Roros,NO,2022-04-25 19:13:31,62.5747,11.3842,33.64,75,100,11.5
191,San Cristobal,VE,2022-04-25 19:13:32,7.7669,-72.225,71.78,50,55,5.75
192,Bubaque,GW,2022-04-25 19:13:32,11.2833,-15.8333,78.12,77,15,18.23
193,Palauig,PH,2022-04-25 19:05:49,15.435,119.9045,82.29,69,47,4.38
194,Constitucion,CL,2022-04-25 19:13:33,-35.3333,-72.4167,56.46,81,100,7.63
195,Rundu,NA,2022-04-25 19:11:57,-17.9333,19.7667,68.83,35,0,3.78
196,Clyde River,CA,2022-04-25 19:04:37,70.4692,-68.5914,12.9,93,100,16.24
197,Ancud,CL,2022-04-25 19:13:05,-41.8697,-73.8203,53.22,92,100,29.84
198,Lazaro Cardenas,MX,2022-04-25 19:13:33,17.9583,-102.2,83.48,49,90,10.58
199,Mountain Home,US,2022-04-25 19:13:34,43.133,-115.6912,63.88,100,40,21.85
200,Okhotsk,RU,2022-04-25 19:13:34,59.3833,143.3,21.15,81,58,10.65
201,Vardo,NO,2022-04-25 19:13:34,70.3705,31.1107,30.18,93,75,24.16
202,Aborlan,PH,2022-04-25 19:13:35,9.4352,118.5492,79.56,89,100,3.71
203,Broome,US,2022-04-25 19:13:35,42.2506,-75.833,74.14,49,100,11.99
204,Nenjiang,CN,2022-04-25 19:13:36,49.1833,125.2167,37.02,95,100,19.73
205,Tessalit,ML,2022-04-25 19:13:36,20.1986,1.0114,85.15,13,0,10.87
206,Husavik,IS,2022-04-25 19:13:36,66.0449,-17.3389,42.64,75,48,4.59
207,Zeya,RU,2022-04-25 19:13:37,53.75,127.2667,28.78,61,100,4.9
208,Makakilo City,US,2022-04-25 19:13:37,21.3469,-158.0858,77.32,65,100,14.97
209,Presidencia Roque Saenz Pena,AR,2022-04-25 19:13:37,-26.7852,-60.4388,86.47,60,100,3.56
210,Qidong,CN,2022-04-25 19:13:38,31.8128,121.6561,68.94,98,100,9.66
211,Meulaboh,ID,2022-04-25 19:13:38,4.1363,96.1285,76.86,90,100,3.47
212,Saint-Francois,FR,2022-04-25 19:04:29,46.4154,3.9054,52.68,87,75,10.36
213,Aklavik,CA,2022-04-25 19:05:49,68.2191,-135.0107,32.9,100,100,3.78
214,Bluff,NZ,2022-04-25 19:13:39,-46.6,168.3333,50.81,64,100,24.74
215,Tocopilla,CL,2022-04-25 19:13:39,-22.092,-70.1979,69.62,73,100,7.36
216,Byron Bay,AU,2022-04-25 19:13:39,-28.65,153.6167,57.94,73,100,6.2
217,Aguas Vermelhas,BR,2022-04-25 19:13:40,-15.7472,-41.46,76.91,59,100,6.55
218,Palmeirais,BR,2022-04-25 19:13:40,-5.9778,-43.0633,88.27,63,15,2.28
219,Envira,BR,2022-04-25 19:13:41,-7.3,-70.2167,83.14,78,100,0.89
220,South Valley,US,2022-04-25 19:10:26,35.0101,-106.6781,66.7,21,20,6.91
221,Qiqihar,CN,2022-04-25 19:13:41,47.3408,123.9672,42.15,83,100,11.03
222,Lagoa,PT,2022-04-25 19:08:23,39.05,-27.9833,57.96,71,7,14.05
223,Havre-Saint-Pierre,CA,2022-04-25 19:13:42,50.2334,-63.5986,41.36,87,40,10.36
224,Havoysund,NO,2022-04-25 19:13:42,70.9963,24.6622,30.43,68,100,23.02
225,Hvolsvollur,IS,2022-04-25 19:13:43,63.7533,-20.2243,46.08,81,100,8.16
226,Herat,AF,2022-04-25 19:13:43,34.5,62.0,68.99,29,100,7.78
227,Bredasdorp,ZA,2022-04-25 19:13:43,-34.5322,20.0403,55.74,72,0,2.39
228,Guerrero Negro,MX,2022-04-25 19:13:44,27.9769,-114.0611,81.27,23,0,8.3
229,Teknaf,BD,2022-04-25 19:13:44,20.8624,92.3058,79.16,91,5,0.25
230,Sitka,US,2022-04-25 19:13:45,57.0531,-135.33,48.09,71,20,3.44
231,Morros,BR,2022-04-25 19:14:45,-9.4467,-46.3003,88.39,35,40,8.9
232,Sibolga,ID,2022-04-25 19:14:45,1.7427,98.7792,76.55,93,100,0.2
233,Nikolskoye,RU,2022-04-25 19:11:35,59.7035,30.7861,41.72,97,100,4.81
234,Mayskiy,RU,2022-04-25 19:14:46,47.6931,40.1025,62.01,63,94,4.29
235,Campbeltown,GB,2022-04-25 19:14:46,55.4258,-5.6076,53.65,69,85,0.92
236,Marondera,ZW,2022-04-25 19:14:47,-18.1853,31.5519,61.63,65,100,6.35
237,Camacha,PT,2022-04-25 19:10:44,33.0833,-16.3333,62.02,77,20,8.05
238,Sobolevo,RU,2022-04-25 19:14:47,54.4299,31.8996,48.11,94,100,3.69
239,Livingston,GB,2022-04-25 19:14:48,55.9029,-3.5226,50.31,72,20,8.05
240,Vila Franca Do Campo,PT,2022-04-25 19:14:48,37.7167,-25.4333,61.21,70,9,11.54
241,Mayo,US,2022-04-25 19:13:53,38.8876,-76.5119,72.12,72,100,11.5
242,Cap-Aux-Meules,CA,2022-04-25 19:14:49,47.3821,-61.8597,35.62,93,5,7.38
243,Vao,NC,2022-04-25 19:14:49,-22.6667,167.4833,74.8,54,100,21.9
244,Torrox,ES,2022-04-25 19:14:49,36.7579,-3.9523,65.14,74,5,2.3
245,Saint George,US,2022-04-25 19:10:18,37.1041,-113.5841,74.62,13,0,4.0
246,Shimoda,JP,2022-04-25 19:14:50,34.6667,138.95,65.46,91,100,0.81
247,Rocha,UY,2022-04-25 19:07:13,-34.4833,-54.3333,65.82,96,100,3.02
248,Porto Novo,BJ,2022-04-25 19:14:50,6.4965,2.6036,81.81,81,11,7.56
249,Qaqortoq,GL,2022-04-25 19:14:51,60.7167,-46.0333,38.64,80,100,4.14
250,Bakel,SN,2022-04-25 19:14:51,14.905,-12.4568,99.3,12,1,10.56
251,Mason City,US,2022-04-25 19:14:52,43.1536,-93.201,38.08,66,100,21.85
252,Nyakabindi,TZ,2022-04-25 19:14:52,-2.6333,33.9833,66.04,90,100,2.66
253,Laredo,US,2022-04-25 19:12:22,27.5064,-99.5075,86.25,58,100,5.75
254,De-Kastri,RU,2022-04-25 19:14:53,51.4667,140.7833,21.13,92,18,2.55
255,Plettenberg Bay,ZA,2022-04-25 19:14:53,-34.0527,23.3716,56.17,79,0,5.55
256,Bonthe,SL,2022-04-25 19:14:53,7.5264,-12.505,81.54,78,51,11.88
257,Marawi,PH,2022-04-25 19:14:54,7.9986,124.2928,69.98,92,99,2.59
258,Ulaanbaatar,MN,2022-04-25 19:11:04,47.9077,106.8832,15.93,67,0,2.24
259,Novyy Urgal,RU,2022-04-25 19:14:54,51.0736,132.5642,29.03,85,100,3.27
260,Blackwater,AU,2022-04-25 19:14:55,-23.5833,148.8833,64.45,86,100,15.93
261,Qasigiannguit,GL,2022-04-25 19:14:55,68.8193,-51.1922,28.65,88,100,2.68
262,Hanzhong,CN,2022-04-25 19:14:55,33.0728,107.0303,62.17,69,100,1.45
263,Port Washington,US,2022-04-25 19:14:56,40.8257,-73.6982,61.12,45,100,9.22
264,Sistranda,NO,2022-04-25 19:12:38,63.7256,8.834,42.76,63,100,12.03
265,Novo Aripuana,BR,2022-04-25 19:14:56,-5.1206,-60.3797,83.64,75,100,2.39
266,Mulanje,MW,2022-04-25 19:14:57,-16.0316,35.5,67.82,94,10,4.25
267,Babushkin,RU,2022-04-25 19:14:57,51.7122,105.8647,19.35,82,53,5.91
268,Natal,BR,2022-04-25 19:13:51,-5.795,-35.2094,84.85,74,40,12.66
269,Sioux Lookout,CA,2022-04-25 19:14:58,50.1001,-91.917,23.97,88,100,12.39
270,Guiratinga,BR,2022-04-25 19:14:58,-16.3494,-53.7583,87.91,48,88,7.02
271,Bam,IR,2022-04-25 19:14:58,29.106,58.357,82.47,22,2,12.26
272,Kuzhener,RU,2022-04-25 19:14:59,56.8111,48.9128,46.18,92,79,7.85
273,Araouane,ML,2022-04-25 19:14:59,18.9048,-3.5265,85.39,17,0,9.19
274,Sawakin,SD,2022-04-25 19:15:00,19.1059,37.3321,82.56,79,0,2.93
275,Cabras,IT,2022-04-25 19:15:00,39.93,8.5314,54.86,84,24,5.64
276,Korla,CN,2022-04-25 19:08:22,41.7597,86.1469,63.84,18,100,22.97
277,Vanimo,PG,2022-04-25 19:14:29,-2.6741,141.3028,77.27,90,99,5.17
278,Veraval,IN,2022-04-25 19:16:01,20.9,70.3667,82.49,62,0,12.82
279,Talnakh,RU,2022-04-25 19:16:01,69.4865,88.3972,1.2,98,100,4.25
280,Kremenki,RU,2022-04-25 19:16:01,54.885,37.1261,53.91,84,100,11.63
281,Hatillo,PR,2022-04-25 19:16:02,18.4863,-66.8254,84.85,68,47,10.0
282,Mendi,PG,2022-04-25 19:16:02,-6.1761,143.6513,55.22,98,99,2.89
283,Puerto Madero,MX,2022-04-25 19:16:02,14.7208,-92.4215,95.2,49,40,12.66
284,Urumqi,CN,2022-04-25 19:16:03,43.801,87.6005,50.95,66,0,8.95
285,Indramayu,ID,2022-04-25 19:13:23,-6.3264,108.32,78.03,90,100,10.16
286,Mwense,ZM,2022-04-25 19:16:03,-10.3845,28.698,66.7,91,54,3.47
287,Djibo,BF,2022-04-25 19:16:04,14.1022,-1.6306,93.16,10,5,9.35
288,Samarai,PG,2022-04-25 19:16:04,-10.6167,150.6667,82.58,78,100,13.4
289,Adelaide,AU,2022-04-25 19:14:57,-34.9333,138.6,68.18,63,0,6.91
290,Talcahuano,CL,2022-04-25 19:16:05,-36.7167,-73.1167,55.08,94,75,11.5
291,Krasnoselkup,RU,2022-04-25 19:16:05,65.7,82.4667,-3.17,99,25,4.97
292,Moravsky Beroun,CZ,2022-04-25 19:12:48,49.7937,17.4421,43.25,91,100,4.18
293,Dalbandin,PK,2022-04-25 19:16:06,28.8947,64.4101,83.05,14,4,4.63
