City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
161,Balabac,PH,84.13,moderate rain,7.9868,117.0645,Batalla’s Lodging House
163,Keokuk,US,70.32,overcast clouds,40.3973,-91.3849,Hampton Inn Keokuk
168,Puerto Baquerizo Moreno,EC,72.54,broken clouds,-0.9,-89.6,Hotel los Algarrobos
174,Acapulco,MX,84.02,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
179,Chajul,GT,75.24,overcast clouds,15.4853,-91.0342,Hotel San Gaspar
180,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
185,Salinopolis,BR,76.71,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
188,Bartlesville,US,85.1,few clouds,36.7473,-95.9808,Hilton Garden Inn Bartlesville
189,Hurricane,US,82.87,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
191,Benguela,AO,74.03,clear sky,-12.5763,13.4055,Hotel Praia Morena
193,Mancio Lima,BR,82.47,clear sky,-7.6142,-72.8958,Motel Asas Do Desejo
199,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
201,Bahia Honda,CU,77.54,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
206,Bitung,ID,81.45,overcast clouds,1.4451,125.1824,K2 Lembeh
207,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
210,Quatre Cocos,MU,72.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
216,Lorengau,PG,85.66,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
232,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
234,Sibolga,ID,77.36,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
237,Acari,PE,70.88,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
238,Lincoln,US,71.56,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
239,Trairi,BR,76.93,overcast clouds,-3.2778,-39.2689,janelas do mar
240,Karratha,AU,77.88,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
244,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
245,Kannur,IN,81.36,overcast clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
246,Liwale,TZ,70.68,overcast clouds,-9.7667,37.9333,Nakivubo Executive Lodge
249,Labe,GN,73.0,overcast clouds,11.3182,-12.2833,Hôtel Djamtum
254,Bundaberg,AU,70.21,moderate rain,-24.85,152.35,Takalvan Motel
258,Sijunjung,ID,73.83,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
259,Sola,VU,80.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
